trial,cued,response,group,PID
1,sadness,attention,ASD,asd1
2,happiness,happiness,ASD,asd1
3,attention,attention,ASD,asd1
4,calming,love,ASD,asd1
5,gratitude,attention,ASD,asd1
6,love,love,ASD,asd1
7,calming,calming,ASD,asd1
8,sadness,attention,ASD,asd1
9,happiness,happiness,ASD,asd1
10,attention,attention,ASD,asd1
11,gratitude,calming,ASD,asd1
12,love,love,ASD,asd1
13,happiness,happiness,ASD,asd1
14,gratitude,calming,ASD,asd1
15,love,love,ASD,asd1
16,calming,love,ASD,asd1
17,attention,attention,ASD,asd1
18,sadness,calming,ASD,asd1
19,love,love,ASD,asd1
20,attention,attention,ASD,asd1
21,gratitude,calming,ASD,asd1
22,calming,love,ASD,asd1
23,sadness,calming,ASD,asd1
24,happiness,happiness,ASD,asd1
25,calming,love,ASD,asd1
26,happiness,happiness,ASD,asd1
27,gratitude,calming,ASD,asd1
28,love,love,ASD,asd1
29,attention,attention,ASD,asd1
30,sadness,calming,ASD,asd1
31,love,love,ASD,asd1
32,attention,attention,ASD,asd1
33,gratitude,calming,ASD,asd1
34,happiness,happiness,ASD,asd1
35,sadness,gratitude,ASD,asd1
36,calming,love,ASD,asd1
37,sadness,calming,ASD,asd1
38,love,love,ASD,asd1
39,gratitude,sadness,ASD,asd1
40,calming,love,ASD,asd1
41,happiness,happiness,ASD,asd1
42,attention,attention,ASD,asd1
43,happiness,happiness,ASD,asd1
44,love,love,ASD,asd1
45,calming,love,ASD,asd1
46,gratitude,calming,ASD,asd1
47,attention,attention,ASD,asd1
48,sadness,attention,ASD,asd1
49,gratitude,calming,ASD,asd1
50,sadness,calming,ASD,asd1
51,calming,calming,ASD,asd1
52,attention,attention,ASD,asd1
53,happiness,happiness,ASD,asd1
54,love,love,ASD,asd1
55,attention,attention,ASD,asd1
56,sadness,calming,ASD,asd1
57,love,love,ASD,asd1
58,gratitude,calming,ASD,asd1
59,happiness,happiness,ASD,asd1
60,calming,love,ASD,asd1
1,attention,attention,ASD,asd10
2,love,other,ASD,asd10
3,gratitude,love,ASD,asd10
4,happiness,other,ASD,asd10
5,calming,calming,ASD,asd10
6,sadness,calming,ASD,asd10
7,happiness,other,ASD,asd10
8,love,love,ASD,asd10
9,sadness,calming,ASD,asd10
10,gratitude,gratitude,ASD,asd10
11,calming,calming,ASD,asd10
12,attention,other,ASD,asd10
13,happiness,other,ASD,asd10
14,calming,calming,ASD,asd10
15,gratitude,gratitude,ASD,asd10
16,attention,other,ASD,asd10
17,love,calming,ASD,asd10
18,sadness,calming,ASD,asd10
19,attention,other,ASD,asd10
20,love,love,ASD,asd10
21,sadness,calming,ASD,asd10
22,calming,calming,ASD,asd10
23,gratitude,gratitude,ASD,asd10
24,happiness,other,ASD,asd10
25,calming,calming,ASD,asd10
26,gratitude,calming,ASD,asd10
27,love,love,ASD,asd10
28,sadness,calming,ASD,asd10
29,happiness,other,ASD,asd10
30,attention,attention,ASD,asd10
31,attention,attention,ASD,asd10
32,gratitude,gratitude,ASD,asd10
33,happiness,other,ASD,asd10
34,love,love,ASD,asd10
35,calming,calming,ASD,asd10
36,sadness,sadness,ASD,asd10
37,gratitude,love,ASD,asd10
38,love,love,ASD,asd10
39,attention,attention,ASD,asd10
40,sadness,sadness,ASD,asd10
41,calming,sadness,ASD,asd10
42,happiness,other,ASD,asd10
43,attention,attention,ASD,asd10
44,sadness,calming,ASD,asd10
45,gratitude,gratitude,ASD,asd10
46,happiness,other,ASD,asd10
47,calming,calming,ASD,asd10
48,love,love,ASD,asd10
49,happiness,other,ASD,asd10
50,love,love,ASD,asd10
51,sadness,sadness,ASD,asd10
52,gratitude,gratitude,ASD,asd10
53,attention,attention,ASD,asd10
54,calming,sadness,ASD,asd10
55,love,love,ASD,asd10
56,sadness,calming,ASD,asd10
57,calming,calming,ASD,asd10
58,happiness,other,ASD,asd10
59,attention,attention,ASD,asd10
60,gratitude,gratitude,ASD,asd10
1,attention,attention,ASD,asd10a
2,sadness,calming,ASD,asd10a
3,happiness,attention,ASD,asd10a
4,love,attention,ASD,asd10a
5,gratitude,other,ASD,asd10a
6,calming,calming,ASD,asd10a
7,gratitude,other,ASD,asd10a
8,sadness,sadness,ASD,asd10a
9,happiness,attention,ASD,asd10a
10,love,happiness,ASD,asd10a
11,calming,attention,ASD,asd10a
12,attention,other,ASD,asd10a
13,calming,calming,ASD,asd10a
14,love,other,ASD,asd10a
15,gratitude,other,ASD,asd10a
16,sadness,attention,ASD,asd10a
17,attention,attention,ASD,asd10a
18,happiness,other,ASD,asd10a
19,gratitude,other,ASD,asd10a
20,attention,other,ASD,asd10a
21,calming,calming,ASD,asd10a
22,happiness,attention,ASD,asd10a
23,sadness,calming,ASD,asd10a
24,love,calming,ASD,asd10a
25,happiness,other,ASD,asd10a
26,calming,attention,ASD,asd10a
27,sadness,attention,ASD,asd10a
28,love,love,ASD,asd10a
29,gratitude,other,ASD,asd10a
30,attention,attention,ASD,asd10a
31,attention,attention,ASD,asd10a
32,gratitude,attention,ASD,asd10a
33,sadness,attention,ASD,asd10a
34,calming,calming,ASD,asd10a
35,love,attention,ASD,asd10a
36,happiness,other,ASD,asd10a
37,gratitude,attention,ASD,asd10a
38,attention,attention,ASD,asd10a
39,calming,calming,ASD,asd10a
40,sadness,attention,ASD,asd10a
41,love,attention,ASD,asd10a
42,happiness,attention,ASD,asd10a
43,gratitude,attention,ASD,asd10a
44,love,attention,ASD,asd10a
45,sadness,sadness,ASD,asd10a
46,calming,calming,ASD,asd10a
47,attention,attention,ASD,asd10a
48,happiness,other,ASD,asd10a
49,happiness,other,ASD,asd10a
50,gratitude,attention,ASD,asd10a
51,calming,calming,ASD,asd10a
52,sadness,attention,ASD,asd10a
53,love,happiness,ASD,asd10a
54,attention,other,ASD,asd10a
55,happiness,other,ASD,asd10a
56,love,attention,ASD,asd10a
57,attention,attention,ASD,asd10a
58,sadness,calming,ASD,asd10a
59,gratitude,other,ASD,asd10a
60,calming,calming,ASD,asd10a
1,love,calming,ASD,asd11
2,happiness,happiness,ASD,asd11
3,attention,attention,ASD,asd11
4,gratitude,happiness,ASD,asd11
5,calming,calming,ASD,asd11
6,sadness,gratitude,ASD,asd11
7,sadness,gratitude,ASD,asd11
8,attention,attention,ASD,asd11
9,calming,sadness,ASD,asd11
10,happiness,happiness,ASD,asd11
11,gratitude,happiness,ASD,asd11
12,love,calming,ASD,asd11
13,gratitude,attention,ASD,asd11
14,calming,calming,ASD,asd11
15,sadness,love,ASD,asd11
16,love,love,ASD,asd11
17,happiness,happiness,ASD,asd11
18,attention,attention,ASD,asd11
19,love,calming,ASD,asd11
20,happiness,happiness,ASD,asd11
21,calming,sadness,ASD,asd11
22,gratitude,happiness,ASD,asd11
23,attention,attention,ASD,asd11
24,sadness,calming,ASD,asd11
25,attention,attention,ASD,asd11
26,happiness,attention,ASD,asd11
27,love,calming,ASD,asd11
28,calming,calming,ASD,asd11
29,gratitude,other,ASD,asd11
30,sadness,calming,ASD,asd11
31,happiness,attention,ASD,asd11
32,calming,sadness,ASD,asd11
33,gratitude,happiness,ASD,asd11
34,sadness,gratitude,ASD,asd11
35,love,happiness,ASD,asd11
36,attention,attention,ASD,asd11
37,happiness,attention,ASD,asd11
38,sadness,calming,ASD,asd11
39,love,love,ASD,asd11
40,calming,gratitude,ASD,asd11
41,attention,attention,ASD,asd11
42,gratitude,attention,ASD,asd11
43,love,gratitude,ASD,asd11
44,happiness,attention,ASD,asd11
45,sadness,sadness,ASD,asd11
46,attention,other,ASD,asd11
47,gratitude,other,ASD,asd11
48,calming,attention,ASD,asd11
49,happiness,attention,ASD,asd11
50,love,love,ASD,asd11
51,sadness,sadness,ASD,asd11
52,gratitude,other,ASD,asd11
53,calming,gratitude,ASD,asd11
54,attention,happiness,ASD,asd11
55,calming,attention,ASD,asd11
56,gratitude,attention,ASD,asd11
57,sadness,attention,ASD,asd11
58,attention,happiness,ASD,asd11
59,happiness,love,ASD,asd11
60,love,love,ASD,asd11
1,sadness,gratitude,ASD,asd12
2,attention,attention,ASD,asd12
3,love,love,ASD,asd12
4,calming,calming,ASD,asd12
5,gratitude,gratitude,ASD,asd12
6,happiness,happiness,ASD,asd12
7,attention,attention,ASD,asd12
8,love,love,ASD,asd12
9,calming,calming,ASD,asd12
10,gratitude,attention,ASD,asd12
11,happiness,other,ASD,asd12
12,sadness,sadness,ASD,asd12
13,gratitude,attention,ASD,asd12
14,sadness,gratitude,ASD,asd12
15,love,love,ASD,asd12
16,happiness,happiness,ASD,asd12
17,attention,attention,ASD,asd12
18,calming,calming,ASD,asd12
19,gratitude,gratitude,ASD,asd12
20,sadness,love,ASD,asd12
21,happiness,attention,ASD,asd12
22,love,love,ASD,asd12
23,attention,attention,ASD,asd12
24,calming,calming,ASD,asd12
25,sadness,calming,ASD,asd12
26,attention,attention,ASD,asd12
27,gratitude,attention,ASD,asd12
28,happiness,happiness,ASD,asd12
29,calming,calming,ASD,asd12
30,love,love,ASD,asd12
31,love,love,ASD,asd12
32,calming,calming,ASD,asd12
33,sadness,love,ASD,asd12
34,happiness,happiness,ASD,asd12
35,attention,attention,ASD,asd12
36,gratitude,attention,ASD,asd12
37,happiness,happiness,ASD,asd12
38,calming,calming,ASD,asd12
39,love,love,ASD,asd12
40,gratitude,attention,ASD,asd12
41,sadness,sadness,ASD,asd12
42,attention,attention,ASD,asd12
43,sadness,gratitude,ASD,asd12
44,calming,calming,ASD,asd12
45,happiness,other,ASD,asd12
46,gratitude,attention,ASD,asd12
47,love,calming,ASD,asd12
48,attention,attention,ASD,asd12
49,gratitude,attention,ASD,asd12
50,calming,calming,ASD,asd12
51,love,love,ASD,asd12
52,happiness,other,ASD,asd12
53,attention,attention,ASD,asd12
54,sadness,gratitude,ASD,asd12
55,attention,attention,ASD,asd12
56,love,love,ASD,asd12
57,calming,calming,ASD,asd12
58,sadness,gratitude,ASD,asd12
59,happiness,other,ASD,asd12
60,gratitude,attention,ASD,asd12
1,happiness,attention,ASD,asd17
2,sadness,other,ASD,asd17
3,love,calming,ASD,asd17
4,gratitude,sadness,ASD,asd17
5,calming,love,ASD,asd17
6,attention,attention,ASD,asd17
7,happiness,other,ASD,asd17
8,calming,happiness,ASD,asd17
9,attention,attention,ASD,asd17
10,love,calming,ASD,asd17
11,gratitude,happiness,ASD,asd17
12,sadness,love,ASD,asd17
13,sadness,calming,ASD,asd17
14,gratitude,sadness,ASD,asd17
15,happiness,attention,ASD,asd17
16,calming,gratitude,ASD,asd17
17,attention,attention,ASD,asd17
18,love,love,ASD,asd17
19,happiness,sadness,ASD,asd17
20,attention,attention,ASD,asd17
21,gratitude,gratitude,ASD,asd17
22,calming,other,ASD,asd17
23,sadness,love,ASD,asd17
24,love,calming,ASD,asd17
25,sadness,gratitude,ASD,asd17
26,love,calming,ASD,asd17
27,calming,sadness,ASD,asd17
28,attention,attention,ASD,asd17
29,happiness,sadness,ASD,asd17
30,gratitude,happiness,ASD,asd17
31,love,love,ASD,asd17
32,happiness,attention,ASD,asd17
33,gratitude,gratitude,ASD,asd17
34,sadness,happiness,ASD,asd17
35,calming,calming,ASD,asd17
36,attention,attention,ASD,asd17
37,sadness,gratitude,ASD,asd17
38,happiness,attention,ASD,asd17
39,calming,sadness,ASD,asd17
40,attention,attention,ASD,asd17
41,love,calming,ASD,asd17
42,gratitude,happiness,ASD,asd17
43,sadness,calming,ASD,asd17
44,gratitude,gratitude,ASD,asd17
45,calming,love,ASD,asd17
46,love,calming,ASD,asd17
47,happiness,other,ASD,asd17
48,attention,attention,ASD,asd17
49,sadness,gratitude,ASD,asd17
50,calming,love,ASD,asd17
51,gratitude,calming,ASD,asd17
52,attention,attention,ASD,asd17
53,happiness,sadness,ASD,asd17
54,love,love,ASD,asd17
55,calming,calming,ASD,asd17
56,attention,sadness,ASD,asd17
57,gratitude,gratitude,ASD,asd17
58,sadness,gratitude,ASD,asd17
59,happiness,sadness,ASD,asd17
60,love,love,ASD,asd17
1,happiness,attention,ASD,asd18
2,attention,attention,ASD,asd18
3,calming,love,ASD,asd18
4,gratitude,calming,ASD,asd18
5,sadness,calming,ASD,asd18
6,love,love,ASD,asd18
7,sadness,calming,ASD,asd18
8,calming,calming,ASD,asd18
9,love,love,ASD,asd18
10,attention,attention,ASD,asd18
11,happiness,other,ASD,asd18
12,gratitude,calming,ASD,asd18
13,attention,attention,ASD,asd18
14,calming,calming,ASD,asd18
15,gratitude,calming,ASD,asd18
16,sadness,calming,ASD,asd18
17,happiness,other,ASD,asd18
18,love,love,ASD,asd18
19,sadness,calming,ASD,asd18
20,attention,attention,ASD,asd18
21,gratitude,attention,ASD,asd18
22,happiness,other,ASD,asd18
23,love,love,ASD,asd18
24,calming,calming,ASD,asd18
25,sadness,calming,ASD,asd18
26,attention,attention,ASD,asd18
27,calming,calming,ASD,asd18
28,love,love,ASD,asd18
29,happiness,other,ASD,asd18
30,gratitude,attention,ASD,asd18
31,calming,calming,ASD,asd18
32,happiness,other,ASD,asd18
33,love,love,ASD,asd18
34,gratitude,attention,ASD,asd18
35,sadness,attention,ASD,asd18
36,attention,attention,ASD,asd18
37,sadness,calming,ASD,asd18
38,calming,calming,ASD,asd18
39,love,love,ASD,asd18
40,happiness,other,ASD,asd18
41,attention,attention,ASD,asd18
42,gratitude,attention,ASD,asd18
43,attention,attention,ASD,asd18
44,calming,calming,ASD,asd18
45,happiness,other,ASD,asd18
46,love,love,ASD,asd18
47,gratitude,attention,ASD,asd18
48,sadness,calming,ASD,asd18
49,sadness,calming,ASD,asd18
