experiment,PID,group,Experimenter,task,trial,cued,response
felt touch,asd01,ASD,3,forced choice,1,sadness,attention
felt touch,asd01,ASD,3,forced choice,2,happiness,happiness
felt touch,asd01,ASD,3,forced choice,3,attention,attention
felt touch,asd01,ASD,3,forced choice,4,calming,love
felt touch,asd01,ASD,3,forced choice,5,gratitude,attention
felt touch,asd01,ASD,3,forced choice,6,love,love
felt touch,asd01,ASD,3,forced choice,7,calming,calming
felt touch,asd01,ASD,3,forced choice,8,sadness,attention
felt touch,asd01,ASD,3,forced choice,9,happiness,happiness
felt touch,asd01,ASD,3,forced choice,10,attention,attention
felt touch,asd01,ASD,3,forced choice,11,gratitude,calming
felt touch,asd01,ASD,3,forced choice,12,love,love
felt touch,asd01,ASD,3,forced choice,13,happiness,happiness
felt touch,asd01,ASD,3,forced choice,14,gratitude,calming
felt touch,asd01,ASD,3,forced choice,15,love,love
felt touch,asd01,ASD,3,forced choice,16,calming,love
felt touch,asd01,ASD,3,forced choice,17,attention,attention
felt touch,asd01,ASD,3,forced choice,18,sadness,calming
felt touch,asd01,ASD,3,forced choice,19,love,love
felt touch,asd01,ASD,3,forced choice,20,attention,attention
felt touch,asd01,ASD,3,forced choice,21,gratitude,calming
felt touch,asd01,ASD,3,forced choice,22,calming,love
felt touch,asd01,ASD,3,forced choice,23,sadness,calming
felt touch,asd01,ASD,3,forced choice,24,happiness,happiness
felt touch,asd01,ASD,3,forced choice,25,calming,love
felt touch,asd01,ASD,3,forced choice,26,happiness,happiness
felt touch,asd01,ASD,3,forced choice,27,gratitude,calming
felt touch,asd01,ASD,3,forced choice,28,love,love
felt touch,asd01,ASD,3,forced choice,29,attention,attention
felt touch,asd01,ASD,3,forced choice,30,sadness,calming
felt touch,asd01,ASD,3,forced choice,31,love,love
felt touch,asd01,ASD,3,forced choice,32,attention,attention
felt touch,asd01,ASD,3,forced choice,33,gratitude,calming
felt touch,asd01,ASD,3,forced choice,34,happiness,happiness
felt touch,asd01,ASD,3,forced choice,35,sadness,gratitude
felt touch,asd01,ASD,3,forced choice,36,calming,love
felt touch,asd01,ASD,3,forced choice,37,sadness,calming
felt touch,asd01,ASD,3,forced choice,38,love,love
felt touch,asd01,ASD,3,forced choice,39,gratitude,sadness
felt touch,asd01,ASD,3,forced choice,40,calming,love
felt touch,asd01,ASD,3,forced choice,41,happiness,happiness
felt touch,asd01,ASD,3,forced choice,42,attention,attention
felt touch,asd01,ASD,3,forced choice,43,happiness,happiness
felt touch,asd01,ASD,3,forced choice,44,love,love
felt touch,asd01,ASD,3,forced choice,45,calming,love
felt touch,asd01,ASD,3,forced choice,46,gratitude,calming
felt touch,asd01,ASD,3,forced choice,47,attention,attention
felt touch,asd01,ASD,3,forced choice,48,sadness,attention
felt touch,asd01,ASD,3,forced choice,49,gratitude,calming
felt touch,asd01,ASD,3,forced choice,50,sadness,calming
felt touch,asd01,ASD,3,forced choice,51,calming,calming
felt touch,asd01,ASD,3,forced choice,52,attention,attention
felt touch,asd01,ASD,3,forced choice,53,happiness,happiness
felt touch,asd01,ASD,3,forced choice,54,love,love
felt touch,asd01,ASD,3,forced choice,55,attention,attention
felt touch,asd01,ASD,3,forced choice,56,sadness,calming
felt touch,asd01,ASD,3,forced choice,57,love,love
felt touch,asd01,ASD,3,forced choice,58,gratitude,calming
felt touch,asd01,ASD,3,forced choice,59,happiness,happiness
felt touch,asd01,ASD,3,forced choice,60,calming,love
felt touch,asd02,ASD,3,forced choice,1,gratitude,attention
felt touch,asd02,ASD,3,forced choice,2,love,love
felt touch,asd02,ASD,3,forced choice,3,sadness,attention
felt touch,asd02,ASD,3,forced choice,4,happiness,happiness
felt touch,asd02,ASD,3,forced choice,5,calming,calming
felt touch,asd02,ASD,3,forced choice,6,attention,attention
felt touch,asd02,ASD,3,forced choice,7,attention,attention
felt touch,asd02,ASD,3,forced choice,8,calming,sadness
felt touch,asd02,ASD,3,forced choice,9,sadness,sadness
felt touch,asd02,ASD,3,forced choice,10,gratitude,attention
felt touch,asd02,ASD,3,forced choice,11,happiness,happiness
felt touch,asd02,ASD,3,forced choice,12,love,love
felt touch,asd02,ASD,3,forced choice,13,gratitude,attention
felt touch,asd02,ASD,3,forced choice,14,attention,attention
felt touch,asd02,ASD,3,forced choice,15,happiness,happiness
felt touch,asd02,ASD,3,forced choice,16,sadness,sadness
felt touch,asd02,ASD,3,forced choice,17,calming,sadness
felt touch,asd02,ASD,3,forced choice,18,love,calming
felt touch,asd02,ASD,3,forced choice,19,attention,attention
felt touch,asd02,ASD,3,forced choice,20,calming,other
felt touch,asd02,ASD,3,forced choice,21,gratitude,attention
felt touch,asd02,ASD,3,forced choice,22,sadness,gratitude
felt touch,asd02,ASD,3,forced choice,23,love,love
felt touch,asd02,ASD,3,forced choice,24,happiness,other
felt touch,asd02,ASD,3,forced choice,25,sadness,sadness
felt touch,asd02,ASD,3,forced choice,26,calming,calming
felt touch,asd02,ASD,3,forced choice,27,love,love
felt touch,asd02,ASD,3,forced choice,28,happiness,happiness
felt touch,asd02,ASD,3,forced choice,29,attention,attention
felt touch,asd02,ASD,3,forced choice,30,gratitude,attention
felt touch,asd02,ASD,3,forced choice,31,gratitude,attention
felt touch,asd02,ASD,3,forced choice,32,sadness,sadness
felt touch,asd02,ASD,3,forced choice,33,attention,attention
felt touch,asd02,ASD,3,forced choice,34,calming,calming
felt touch,asd02,ASD,3,forced choice,35,happiness,happiness
felt touch,asd02,ASD,3,forced choice,36,love,love
felt touch,asd02,ASD,3,forced choice,37,happiness,happiness
felt touch,asd02,ASD,3,forced choice,38,calming,calming
felt touch,asd02,ASD,3,forced choice,39,gratitude,attention
felt touch,asd02,ASD,3,forced choice,40,sadness,sadness
felt touch,asd02,ASD,3,forced choice,41,attention,attention
felt touch,asd02,ASD,3,forced choice,42,love,love
felt touch,asd02,ASD,3,forced choice,43,sadness,sadness
felt touch,asd02,ASD,3,forced choice,44,attention,attention
felt touch,asd02,ASD,3,forced choice,45,calming,calming
felt touch,asd02,ASD,3,forced choice,46,love,love
felt touch,asd02,ASD,3,forced choice,47,happiness,other
felt touch,asd02,ASD,3,forced choice,48,gratitude,attention
felt touch,asd02,ASD,3,forced choice,49,love,calming
felt touch,asd02,ASD,3,forced choice,50,attention,attention
felt touch,asd02,ASD,3,forced choice,51,gratitude,attention
felt touch,asd02,ASD,3,forced choice,52,sadness,sadness
