experiment,PID,group,data,Label,Metric,statistic,bias,std.error,conf.low,conf.high
felt touch,asd01,ASD,,attention,Recall,1,0,0,NA,NA
felt touch,asd01,ASD,,attention,Precision,0.7142857142857143,-0.002650391453642875,0.12487960207690305,0.46153846153846156,0.9373941455383105
felt touch,asd01,ASD,,attention,Specificity,1,0,0,NA,NA
felt touch,asd01,ASD,,attention,F1,0.8333333333333333,-0.008234457786726823,0.0887775790480866,0.631578947368421,0.9676854169726241
felt touch,asd01,ASD,,attention,F1chance,0.2857142857142857,-0.0027416582880086526,0.06920712957813852,0.15384615384615385,0.4210526315789474
felt touch,asd01,ASD,,love,Recall,1,0,0,NA,NA
felt touch,asd01,ASD,,love,Precision,0.5555555555555556,-0.0018322210188348453,0.119651189148287,0.3333333333333333,0.7857142857142857
felt touch,asd01,ASD,,love,Specificity,1,0,0,NA,NA
felt touch,asd01,ASD,,love,F1,0.7142857142857143,-0.009271754154746792,0.10134088998132809,0.5,0.88
felt touch,asd01,ASD,,love,F1chance,0.2857142857142857,-0.006709839261197503,0.06974375717432346,0.15384615384615385,0.4210526315789474
felt touch,asd01,ASD,,happiness,Recall,1,0,0,NA,NA
felt touch,asd01,ASD,,happiness,Precision,1,0,0,NA,NA
felt touch,asd01,ASD,,happiness,Specificity,1,0,0,NA,NA
felt touch,asd01,ASD,,happiness,F1,1,0,0,NA,NA
felt touch,asd01,ASD,,happiness,F1chance,0.2857142857142857,-0.0020288538881480522,0.06936918991101583,0.15384615384615385,0.4210526315789474
felt touch,asd01,ASD,,calming,Recall,0.2,0.00795964219389142,0.1319458982183259,0,0.5
felt touch,asd01,ASD,,calming,Precision,0.125,0.007125732859244782,0.08877076789384354,0,0.3333333333333333
felt touch,asd01,ASD,,calming,Specificity,0.8181818181818182,8.74908606694258e-4,0.05870339250727941,0.6977335001646641,0.9229712886868795
felt touch,asd01,ASD,,calming,F1,0.15384615384615385,0.002366586733872189,0.09735427743855105,0,0.35714285714285715
felt touch,asd01,ASD,,calming,F1chance,0.2857142857142857,-0.0017236567739209452,0.07277020089585869,0.15384615384615385,0.4210526315789474
felt touch,asd01,ASD,,sadness,Recall,0,0,0,NA,NA
felt touch,asd01,ASD,,sadness,Precision,0,0,0,NA,NA
felt touch,asd01,ASD,,sadness,Specificity,0.8305084745762712,1.0403179725448908e-6,0.0489339979333229,0.7242567157021883,0.9152542372881356
felt touch,asd01,ASD,,sadness,F1,0,0,0,NA,NA
felt touch,asd01,ASD,,sadness,F1chance,0.2857142857142857,-0.003025440894158238,0.07037583781164122,0.15384615384615385,0.4210526315789474
felt touch,asd01,ASD,,gratitude,Recall,0,0,0,NA,NA
felt touch,asd01,ASD,,gratitude,Precision,0,0,0,NA,NA
felt touch,asd01,ASD,,gratitude,Specificity,0.8305084745762712,-0.0011888408890831093,0.04926694792245572,0.7288135593220338,0.93100374462092494
felt touch,asd01,ASD,,gratitude,F1,0,0,0,NA,NA
felt touch,asd01,ASD,,gratitude,F1chance,0.2857142857142857,-0.001187531779096418,0.07119327278959066,0.125,0.4210526315789474
felt touch,asd02,ASD,,attention,Recall,1,0,0,NA,NA
felt touch,asd02,ASD,,attention,Precision,0.45454545454545453,-0.003883402643168332,0.1085152725681047,0.25,0.6663409606306989
felt touch,asd02,ASD,,attention,Specificity,1,0,0,NA,NA
felt touch,asd02,ASD,,attention,F1,0.625,-0.01152364179461196,0.1055117421434878,0.4,0.7997636737599491
felt touch,asd02,ASD,,attention,F1chance,0.2857142857142857,-0.0065884089559980485,0.07150556646561124,0.15384615384615385,0.4210526315789474
felt touch,asd02,ASD,,love,Recall,0.8,3.355943076530643e-4,0.13499409927062878,0.5,1
felt touch,asd02,ASD,,love,Precision,1,0,0,NA,NA
felt touch,asd02,ASD,,love,Specificity,0.9615384615384616,-1.6860175015120937e-5,0.026893778691370624,0.9019607843137255,1
felt touch,asd02,ASD,,love,F1,0.888888888888889,-0.006511506847148629,0.09035289263922272,0.6666666666666666,1
felt touch,asd02,ASD,,love,F1chance,0.2857142857142857,-0.0012203199826512634,0.07090015975915379,0.15384615384615385,0.4210526315789474
felt touch,asd02,ASD,,happiness,Recall,0.8,3.08867297992621e-4,0.13296316056525714,0.5,1
felt touch,asd02,ASD,,happiness,Precision,1,0,0,NA,NA
felt touch,asd02,ASD,,happiness,Specificity,0.9615384615384616,6.300047415761512e-4,0.025253762970495672,0.9056603773584906,1
felt touch,asd02,ASD,,happiness,F1,0.888888888888889,-0.006315648474714997,0.08891363437023982,0.6666666666666666,1
felt touch,asd02,ASD,,happiness,F1chance,0.2857142857142857,-0.0011795145854832656,0.06868135340682816,0.15384615384615385,0.4210526315789474
felt touch,asd02,ASD,,calming,Recall,0.6,-0.0021992043946764683,0.16093000949148095,0.25,0.9090909090909091
felt touch,asd02,ASD,,calming,Precision,0.75,0.0013348475870534893,0.16143930734266687,0.4,1
felt touch,asd02,ASD,,calming,Specificity,0.9230769230769231,-0.00079954954702887715,0.03702303879969423,0.8431372549019608,0.9818181818181818
felt touch,asd02,ASD,,calming,F1,0.6666666666666665,-0.014751882469958177,0.13661207320234367,0.3341031839638037,0.888888888888889
felt touch,asd02,ASD,,calming,F1chance,0.2857142857142857,-0.002120358468089334,0.07094707937955941,0.15384615384615385,0.4210526315789474
felt touch,asd02,ASD,,sadness,Recall,0.7,0.005593057071927032,0.15350569147941406,0.3752442795269762,1
felt touch,asd02,ASD,,sadness,Precision,0.7,0.003491080002728686,0.15191475473012747,0.4,1
felt touch,asd02,ASD,,sadness,Specificity,0.94,0.0017681719622776315,0.032830963435862774,0.8703703703703703,1
felt touch,asd02,ASD,,sadness,F1,0.7,-0.007296404912013776,0.12567690769085033,0.4210526315789474,0.9032258064516129
felt touch,asd02,ASD,,sadness,F1chance,0.2857142857142857,-0.004052905956577146,0.06951446227491201,0.15384615384615385,0.4210526315789474
felt touch,asd02,ASD,,gratitude,Recall,0,0,0,NA,NA
felt touch,asd02,ASD,,gratitude,Precision,0,0,0,NA,NA
felt touch,asd02,ASD,,gratitude,Specificity,0.8305084745762712,-4.188596235998876e-4,0.049072740368839095,0.7288135593220338,0.9294902841560682
felt touch,asd02,ASD,,gratitude,F1,0,0,0,NA,NA
felt touch,asd02,ASD,,gratitude,F1chance,0.2857142857142857,-0.0021813509303699186,0.07076772556864783,0.12573283858092854,0.4210526315789474
felt touch,asd03,ASD,,attention,Recall,1,0,0,NA,NA
felt touch,asd03,ASD,,attention,Precision,0.3333333333333333,-0.004548551303384829,0.09001904604604635,0.16666666666666666,0.5184860727065064
felt touch,asd03,ASD,,attention,Specificity,1,0,0,NA,NA
felt touch,asd03,ASD,,attention,F1,0.5,-0.012016910254767477,0.10214048948876191,0.2857142857142857,0.6828986640013243
felt touch,asd03,ASD,,attention,F1chance,0.2857142857142857,-0.005558498983525284,0.07299574570620669,0.125,0.4210526315789474
felt touch,asd03,ASD,,love,Recall,0,0,0,NA,NA
felt touch,asd03,ASD,,love,Precision,0,0,0,NA,NA
felt touch,asd03,ASD,,love,Specificity,0.803921568627451,9.247583043853203e-4,0.05646706735200902,0.6909090909090909,0.9056142868817026
felt touch,asd03,ASD,,love,F1,0,0,0,NA,NA
felt touch,asd03,ASD,,love,F1chance,0.2857142857142857,-0.004125160110684978,0.07131508055239671,0.15384615384615385,0.4210526315789474
felt touch,asd03,ASD,,happiness,Recall,0,0,0,NA,NA
