experiment,group,Label,F1,F1_bCI_lower,F1_bCI_upper,F1_chance,Total,Present,Selected,Hits,Misses,False Alarms,Correct Rejections,Recall,Precision
felt touch,ASD,attention,0.6956521739130436,0.5238731956661793,0.8333333333333333,0.2857142857142857,96,16,30,16,0,14,66,1,0.5333333333333333
felt touch,ASD,love,0.5714285714285714,0.33333333333333337,0.75,0.2857142857142857,96,16,19,10,6,9,71,0.625,0.5263157894736842
felt touch,ASD,happiness,0.5,0.2222222222222222,0.7331793632072395,0.2857142857142857,96,16,8,6,10,2,78,0.375,0.75
felt touch,ASD,calming,0.5263157894736842,0.3243243243243243,0.7142857142857143,0.2857142857142857,96,16,22,10,6,12,68,0.625,0.45454545454545453
felt touch,ASD,sadness,0.3157894736842105,0,0.5881107594568359,0.2857142857142857,96,16,3,3,13,0,80,0.1875,1
felt touch,ASD,gratitude,0.18181818181818182,0,0.4165936635896394,0.2857142857142857,96,16,6,2,14,4,76,0.125,0.3333333333333333
felt touch,Control,attention,0.6909090909090908,0.5217917289250633,0.8181492892819392,0.2857142857142857,120,20,35,19,1,16,84,0.95,0.5428571428571428
felt touch,Control,love,0.6842105263157895,0.48523341016372007,0.8253493836212782,0.2857142857142857,120,20,18,13,7,5,95,0.65,0.7222222222222222
felt touch,Control,happiness,0.6666666666666667,0.4444444444444444,0.829225559174423,0.2857142857142857,120,20,13,11,9,2,98,0.55,0.8461538461538461
felt touch,Control,calming,0.47826086956521735,0.27906976744186046,0.6511627906976745,0.2857142857142857,120,20,26,11,9,15,85,0.55,0.4230769230769231
felt touch,Control,sadness,0.28571428571428575,0.07149578061059662,0.5000000000000001,0.2857142857142857,120,20,8,4,16,4,96,0.2,0.5
felt touch,Control,gratitude,0.15384615384615383,0,0.36351792507782993,0.2857142857142857,120,20,6,2,18,4,96,0.1,0.3333333333333333
viewed touch,ASD,attention,0.6976744186046512,0.5161290322580644,0.830165296759498,0.2857142857142857,96,16,27,15,1,12,68,0.9375,0.5555555555555556
viewed touch,ASD,love,0.9333333333333333,0.8,1,0.2857142857142857,96,16,14,14,2,0,80,0.875,1
viewed touch,ASD,happiness,0.7692307692307693,0.5454545454545454,0.9373941455383105,0.2857142857142857,96,16,10,10,6,0,80,0.625,1
viewed touch,ASD,calming,0.6666666666666667,0.489795918367347,0.8147829189318199,0.2857142857142857,96,16,29,15,1,14,66,0.9375,0.5172413793103449
viewed touch,ASD,sadness,0,0,0,0.2857142857142857,96,16,2,0,16,2,78,0,0
viewed touch,ASD,gratitude,0.09090909090909091,0,0.3,0.2857142857142857,96,16,6,1,15,5,75,0.0625,0.16666666666666666
viewed touch,Control,attention,0.7777777777777778,0.6341660124435196,0.8836861763737272,0.2857142857142857,126,21,33,21,0,12,93,1,0.6363636363636364
viewed touch,Control,love,0.7894736842105262,0.611111111111111,0.914254155191546,0.2857142857142857,126,21,17,15,6,2,103,0.7142857142857143,0.8823529411764706
viewed touch,Control,happiness,0.6249999999999999,0.375,0.7999999999999999,0.2857142857142857,126,21,11,10,11,1,104,0.47619047619047616,0.9090909090909091
viewed touch,Control,calming,0.6206896551724138,0.45908046676117414,0.75,0.2857142857142857,126,21,37,18,3,19,86,0.8571428571428571,0.4864864864864865
viewed touch,Control,sadness,0.35714285714285715,0.1111111111111111,0.5806451612903226,0.2857142857142857,126,21,7,5,16,2,103,0.23809523809523808,0.7142857142857143
viewed touch,Control,gratitude,0.14285714285714285,0,0.3225806451612903,0.2857142857142857,126,21,7,2,19,5,100,0.09523809523809523,0.2857142857142857
