experiment,group,Label,F1,F1_bCI_lower,F1_bCI_upper,F1_chance,Present,Selected,Hits,Misses,False Alarms,Correct Rejections,Recall,Precision
felt touch,ASD,attention,0.7069154774972557,0.6713195937121386,0.739069983525817,0.28559428811423776,340,571,322,18,249,1452,0.9470588235294117,0.563922942206655
felt touch,ASD,love,0.5918057663125948,0.545171339563863,0.6373258783307424,0.28559428811423776,340,319,195,145,124,1577,0.5735294117647058,0.6112852664576802
felt touch,ASD,happiness,0.449056603773585,0.39426030705208576,0.502615994448249,0.2863140218303946,341,189,119,222,70,1630,0.3489736070381232,0.6296296296296297
felt touch,ASD,calming,0.5333333333333332,0.4920428352745299,0.5763398716515683,0.28559428811423776,340,410,200,140,210,1491,0.5882352941176471,0.4878048780487805
felt touch,ASD,sadness,0.4124513618677043,0.35223262213763984,0.46206313670013227,0.28559428811423776,340,174,106,234,68,1633,0.31176470588235294,0.6091954022988506
felt touch,ASD,gratitude,0.35384615384615387,0.2969227662767998,0.4070969041589359,0.28559428811423776,340,180,92,248,88,1613,0.27058823529411763,0.5111111111111111
felt touch,Control,attention,0.8097560975609757,0.7789516643535499,0.8390071366812084,0.2857142857142857,340,480,332,8,148,1552,0.9764705882352941,0.6916666666666667
felt touch,Control,love,0.770745428973277,0.7347561195549506,0.8035388575934839,0.2857142857142857,340,371,274,66,97,1603,0.8058823529411765,0.738544474393531
felt touch,Control,happiness,0.8,0.7632092211802599,0.8330514928518984,0.2857142857142857,340,265,242,98,23,1677,0.711764705882353,0.9132075471698113
felt touch,Control,calming,0.5992414664981036,0.5594930926960969,0.6346833377438799,0.2857142857142857,340,451,237,103,214,1486,0.6970588235294117,0.5254988913525499
felt touch,Control,sadness,0.4466403162055336,0.3937023471670921,0.5009704964997189,0.2857142857142857,340,166,113,227,53,1647,0.3323529411764706,0.6807228915662651
felt touch,Control,gratitude,0.39299610894941633,0.34105814980652416,0.44608931517404754,0.2857142857142857,340,174,101,239,73,1627,0.29705882352941176,0.5804597701149425
viewed touch,ASD,attention,0.7058823529411765,0.5417628979954755,0.830165296759498,0.2857142857142857,19,32,18,1,14,81,0.9473684210526315,0.5625
viewed touch,ASD,love,0.9142857142857143,0.8,1,0.2857142857142857,19,16,16,3,0,95,0.8421052631578947,1
viewed touch,ASD,happiness,0.7333333333333334,0.5334636157477206,0.896551724137931,0.2857142857142857,19,11,11,8,0,95,0.5789473684210527,1
viewed touch,ASD,calming,0.6923076923076923,0.5306122448979591,0.8311586792923855,0.2857142857142857,19,33,18,1,15,80,0.9473684210526315,0.5454545454545454
viewed touch,ASD,sadness,0,0,0,0.2857142857142857,19,3,0,19,3,92,0,0
viewed touch,ASD,gratitude,0.07692307692307693,0,0.24242424242424243,0.2857142857142857,19,7,1,18,6,89,0.05263157894736842,0.14285714285714285
viewed touch,Control,attention,0.7759562841530055,0.7093023255813953,0.8420920244550258,0.2857142857142857,73,110,71,2,39,326,0.9726027397260274,0.6454545454545455
viewed touch,Control,love,0.832214765100671,0.7639001260928899,0.8944099378881988,0.2857142857142857,73,76,62,11,14,351,0.8493150684931506,0.8157894736842105
viewed touch,Control,happiness,0.5945945945945946,0.47314644171467185,0.6949152542372882,0.2857142857142857,73,38,33,40,5,360,0.4520547945205479,0.868421052631579
viewed touch,Control,calming,0.5543478260869565,0.4666666666666667,0.6338658988684124,0.2857142857142857,73,111,51,22,60,305,0.6986301369863014,0.4594594594594595
viewed touch,Control,sadness,0.20454545454545453,0.09101906957058668,0.3264614828005293,0.2857142857142857,73,15,9,64,6,359,0.1232876712328767,0.6
viewed touch,Control,gratitude,0.1386138613861386,0.04604823400842592,0.23529411764705882,0.2857142857142857,73,28,7,66,21,344,0.0958904109589041,0.25
