experiment,group,Label,F1,F1_bCI_lower,F1_bCI_upper,F1_chance,Total,Present,Selected,Hits,Misses,False Alarms,Correct Rejections,Recall,Precision
felt touch,ASD,attention,0.6878048780487805,0.6517203463482762,0.7243456363601711,0.2855782960495002,1801,300,520,282,18,238,1263,0.94,0.5423076923076923
felt touch,ASD,love,0.5714285714285714,0.5232991930506686,0.6163280475214952,0.2855782960495002,1801,300,288,168,132,120,1381,0.56,0.5833333333333334
felt touch,ASD,happiness,0.42794759825327516,0.3673681489459415,0.4840674015449662,0.2863939105613701,1801,301,157,98,203,59,1441,0.32558139534883723,0.6242038216560509
felt touch,ASD,calming,0.5220030349013657,0.4731190725243319,0.573466476462197,0.2855782960495002,1801,300,359,172,128,187,1314,0.5733333333333334,0.479108635097493
felt touch,ASD,sadness,0.42731277533039647,0.37528604118993136,0.4828913114629213,0.2855782960495002,1801,300,154,97,203,57,1444,0.3233333333333333,0.6298701298701299
felt touch,ASD,gratitude,0.32967032967032966,0.2735063219699085,0.38461538461538464,0.2855782960495002,1801,300,155,75,225,80,1421,0.25,0.4838709677419355
felt touch,Control,attention,0.8032786885245902,0.7713066823065169,0.8335643895043136,0.2857142857142857,1800,300,432,294,6,138,1362,0.98,0.6805555555555556
felt touch,Control,love,0.7555555555555554,0.7145325998792887,0.7941564018365066,0.2857142857142857,1800,300,330,238,62,92,1408,0.7933333333333333,0.7212121212121212
felt touch,Control,happiness,0.8097014925373135,0.7698634300184249,0.8444405374746935,0.2857142857142857,1800,300,236,217,83,19,1481,0.7233333333333334,0.9194915254237288
felt touch,Control,calming,0.5988700564971752,0.5562163553138026,0.6401070983438675,0.2857142857142857,1800,300,408,212,88,196,1304,0.7066666666666667,0.5196078431372549
felt touch,Control,sadness,0.4530892448512586,0.39450154637151263,0.5077834755224098,0.2857142857142857,1800,300,137,99,201,38,1462,0.33,0.7226277372262774
felt touch,Control,gratitude,0.3796909492273731,0.32160734505132,0.4364135827389657,0.2857142857142857,1800,300,153,86,214,67,1433,0.2866666666666667,0.5620915032679739
viewed touch,ASD,attention,0.6666666666666666,0.47624307468075683,0.8181818181818181,0.2857142857142857,84,14,25,13,1,12,58,0.9285714285714286,0.52
viewed touch,ASD,love,0.962962962962963,0.8697032884282909,1,0.2857142857142857,84,14,13,13,1,0,70,0.9285714285714286,1
viewed touch,ASD,happiness,0.782608695652174,0.5714285714285715,0.9473684210526316,0.2857142857142857,84,14,9,9,5,0,70,0.6428571428571429,1
viewed touch,ASD,calming,0.6842105263157894,0.48,0.8333333333333333,0.2857142857142857,84,14,24,13,1,11,59,0.9285714285714286,0.5416666666666666
viewed touch,ASD,sadness,0,0,0,0.2857142857142857,84,14,2,0,14,2,68,0,0
viewed touch,ASD,gratitude,0.10526315789473682,0,0.28571428571428575,0.2857142857142857,84,14,5,1,13,4,66,0.07142857142857142,0.2
viewed touch,Control,attention,0.7222222222222223,0.5218554007817187,0.8648648648648648,0.2857142857142857,84,14,22,13,1,9,61,0.9285714285714286,0.5909090909090909
viewed touch,Control,love,0.7857142857142857,0.5714285714285715,0.93019035702524,0.2857142857142857,84,14,14,11,3,3,67,0.7857142857142857,0.7857142857142857
viewed touch,Control,happiness,0.7692307692307692,0.5454545454545454,0.923076923076923,0.2857142857142857,84,14,12,10,4,2,68,0.7142857142857143,0.8333333333333334
viewed touch,Control,calming,0.6250000000000001,0.4,0.7999999999999999,0.2857142857142857,84,14,18,10,4,8,62,0.7142857142857143,0.5555555555555556
viewed touch,Control,sadness,0.23529411764705882,0,0.5,0.2857142857142857,84,14,3,2,12,1,69,0.14285714285714285,0.6666666666666666
viewed touch,Control,gratitude,0,0,0,0.2857142857142857,84,14,5,0,14,5,65,0,0
