experiment,group,PID,cued,response,Hits,Total,Present,Selected,Misses,FalseAlarms,CorrectRejections,Recall,Precision,F1,F1chance
felt touch,ASD,asd01,attention,attention,10,60,10,14,0,4,46,1,0.7142857142857143,0.8333333333333333,0.2857142857142857
felt touch,ASD,asd01,calming,calming,2,60,10,16,8,14,36,0.2,0.125,0.15384615384615385,0.2857142857142857
felt touch,ASD,asd01,gratitude,gratitude,0,60,10,1,10,1,49,0,0,0,0.2857142857142857
felt touch,ASD,asd01,happiness,happiness,10,60,10,10,0,0,50,1,1,1,0.2857142857142857
felt touch,ASD,asd01,love,love,10,60,10,18,0,8,42,1,0.5555555555555556,0.7142857142857143,0.2857142857142857
felt touch,ASD,asd01,sadness,sadness,0,60,10,1,10,1,49,0,0,0,0.2857142857142857
felt touch,ASD,asd02,attention,attention,10,60,10,22,0,12,38,1,0.45454545454545453,0.625,0.2857142857142857
felt touch,ASD,asd02,calming,calming,6,60,10,8,4,2,48,0.6,0.75,0.6666666666666665,0.2857142857142857
felt touch,ASD,asd02,gratitude,gratitude,0,60,10,1,10,1,49,0,0,0,0.2857142857142857
felt touch,ASD,asd02,happiness,happiness,8,60,10,8,2,0,50,0.8,1,0.888888888888889,0.2857142857142857
felt touch,ASD,asd02,love,love,8,60,10,8,2,0,50,0.8,1,0.888888888888889,0.2857142857142857
felt touch,ASD,asd02,sadness,sadness,7,60,10,10,3,3,47,0.7,0.7,0.7,0.2857142857142857
felt touch,ASD,asd03,attention,attention,10,60,10,30,0,20,30,1,0.3333333333333333,0.5,0.2857142857142857
felt touch,ASD,asd03,calming,calming,1,60,10,11,9,10,40,0.1,0.09090909090909091,0.09523809523809525,0.2857142857142857
felt touch,ASD,asd03,gratitude,gratitude,0,60,10,0,10,0,50,0,0,0,0.2857142857142857
felt touch,ASD,asd03,happiness,happiness,0,60,10,0,10,0,50,0,0,0,0.2857142857142857
felt touch,ASD,asd03,love,love,0,60,10,9,10,9,41,0,0,0,0.2857142857142857
felt touch,ASD,asd03,sadness,sadness,10,60,10,10,0,0,50,1,1,1,0.2857142857142857
felt touch,ASD,asd04,attention,attention,10,60,10,20,0,10,40,1,0.5,0.6666666666666666,0.2857142857142857
felt touch,ASD,asd04,calming,calming,2,60,10,4,8,2,48,0.2,0.5,0.28571428571428575,0.2857142857142857
felt touch,ASD,asd04,gratitude,gratitude,0,60,10,7,10,7,43,0,0,0,0.2857142857142857
felt touch,ASD,asd04,happiness,happiness,10,60,10,10,0,0,50,1,1,1,0.2857142857142857
felt touch,ASD,asd04,love,love,10,60,10,13,0,3,47,1,0.7692307692307693,0.8695652173913044,0.2857142857142857
felt touch,ASD,asd04,sadness,sadness,5,60,10,6,5,1,49,0.5,0.8333333333333334,0.625,0.2857142857142857
felt touch,ASD,asd05,attention,attention,9,60,10,9,1,0,50,0.9,1,0.9473684210526316,0.2857142857142857
felt touch,ASD,asd05,calming,calming,7,60,10,10,3,3,47,0.7,0.7,0.7,0.2857142857142857
felt touch,ASD,asd05,gratitude,gratitude,0,60,10,0,10,0,50,0,0,0,0.2857142857142857
felt touch,ASD,asd05,happiness,happiness,1,60,10,1,9,0,50,0.1,1,0.18181818181818182,0.2857142857142857
felt touch,ASD,asd05,love,love,9,60,10,9,1,0,50,0.9,1,0.9473684210526316,0.2857142857142857
felt touch,ASD,asd05,sadness,sadness,2,60,10,2,8,0,50,0.2,1,0.33333333333333337,0.2857142857142857
felt touch,ASD,asd06,attention,attention,10,60,10,11,0,1,49,1,0.9090909090909091,0.9523809523809523,0.2857142857142857
felt touch,ASD,asd06,calming,calming,8,60,10,12,2,4,46,0.8,0.6666666666666666,0.7272727272727272,0.2857142857142857
felt touch,ASD,asd06,gratitude,gratitude,2,60,10,4,8,2,48,0.2,0.5,0.28571428571428575,0.2857142857142857
felt touch,ASD,asd06,happiness,happiness,0,60,10,7,10,7,43,0,0,0,0.2857142857142857
felt touch,ASD,asd06,love,love,10,60,10,12,0,2,48,1,0.8333333333333334,0.9090909090909091,0.2857142857142857
felt touch,ASD,asd06,sadness,sadness,4,60,10,4,6,0,50,0.4,1,0.5714285714285715,0.2857142857142857
felt touch,ASD,asd07,attention,attention,8,60,10,18,2,10,40,0.8,0.4444444444444444,0.5714285714285714,0.2857142857142857
felt touch,ASD,asd07,calming,calming,0,60,10,2,10,2,48,0,0,0,0.2857142857142857
felt touch,ASD,asd07,gratitude,gratitude,1,60,10,15,9,14,36,0.1,0.06666666666666667,0.08,0.2857142857142857
felt touch,ASD,asd07,happiness,happiness,0,60,10,7,10,7,43,0,0,0,0.2857142857142857
felt touch,ASD,asd07,love,love,0,60,10,6,10,6,44,0,0,0,0.2857142857142857
felt touch,ASD,asd07,sadness,sadness,2,60,10,12,8,10,40,0.2,0.16666666666666666,0.1818181818181818,0.2857142857142857
felt touch,ASD,asd08,attention,attention,10,60,10,28,0,18,32,1,0.35714285714285715,0.5263157894736842,0.2857142857142857
felt touch,ASD,asd08,calming,calming,0,60,10,0,10,0,50,0,0,0,0.2857142857142857
felt touch,ASD,asd08,gratitude,gratitude,0,60,10,0,10,0,50,0,0,0,0.2857142857142857
felt touch,ASD,asd08,happiness,happiness,1,60,10,1,9,0,50,0.1,1,0.18181818181818182,0.2857142857142857
felt touch,ASD,asd08,love,love,10,60,10,18,0,8,42,1,0.5555555555555556,0.7142857142857143,0.2857142857142857
felt touch,ASD,asd08,sadness,sadness,10,60,10,13,0,3,47,1,0.7692307692307693,0.8695652173913044,0.2857142857142857
felt touch,ASD,asd09,attention,attention,10,60,10,17,0,7,43,1,0.5882352941176471,0.7407407407407407,0.2857142857142857
felt touch,ASD,asd09,calming,calming,10,60,10,20,0,10,40,1,0.5,0.6666666666666666,0.2857142857142857
felt touch,ASD,asd09,gratitude,gratitude,0,60,10,0,10,0,50,0,0,0,0.2857142857142857
felt touch,ASD,asd09,happiness,happiness,0,60,10,0,10,0,50,0,0,0,0.2857142857142857
felt touch,ASD,asd09,love,love,0,60,10,0,10,0,50,0,0,0,0.2857142857142857
felt touch,ASD,asd09,sadness,sadness,0,60,10,0,10,0,50,0,0,0,0.2857142857142857
felt touch,ASD,asd10,attention,attention,7,60,10,7,3,0,50,0.7,1,0.8235294117647058,0.2857142857142857
felt touch,ASD,asd10,calming,calming,8,60,10,17,2,9,41,0.8,0.47058823529411764,0.5925925925925927,0.2857142857142857
felt touch,ASD,asd10,gratitude,gratitude,7,60,10,7,3,0,50,0.7,1,0.8235294117647058,0.2857142857142857
felt touch,ASD,asd10,happiness,happiness,0,60,10,0,10,0,50,0,0,0,0.2857142857142857
felt touch,ASD,asd10,love,love,8,60,10,10,2,2,48,0.8,0.8,0.8000000000000002,0.2857142857142857
felt touch,ASD,asd10,sadness,sadness,3,60,10,5,7,2,48,0.3,0.6,0.4,0.2857142857142857
felt touch,ASD,asd10a,attention,attention,7,60,10,27,3,20,30,0.7,0.25925925925925924,0.37837837837837834,0.2857142857142857
felt touch,ASD,asd10a,calming,calming,8,60,10,12,2,4,46,0.8,0.6666666666666666,0.7272727272727272,0.2857142857142857
felt touch,ASD,asd10a,gratitude,gratitude,0,60,10,0,10,0,50,0,0,0,0.2857142857142857
felt touch,ASD,asd10a,happiness,happiness,0,60,10,2,10,2,48,0,0,0,0.2857142857142857
felt touch,ASD,asd10a,love,love,1,60,10,1,9,0,50,0.1,1,0.18181818181818182,0.2857142857142857
felt touch,ASD,asd10a,sadness,sadness,2,60,10,2,8,0,50,0.2,1,0.33333333333333337,0.2857142857142857
felt touch,ASD,asd11,attention,attention,7,60,10,18,3,11,39,0.7,0.3888888888888889,0.5,0.2857142857142857
felt touch,ASD,asd11,calming,calming,3,60,10,10,7,7,43,0.3,0.3,0.3,0.2857142857142857
felt touch,ASD,asd11,gratitude,gratitude,0,60,10,6,10,6,44,0,0,0,0.2857142857142857
felt touch,ASD,asd11,happiness,happiness,4,60,10,11,6,7,43,0.4,0.36363636363636365,0.380952380952381,0.2857142857142857
