experiment,PID,group,Experimenter,task,trial,cued,response
felt touch,asd01,ASD,3,forced choice,1,happiness,-4.5
felt touch,asd01,ASD,3,forced choice,2,love,6.899999999999999
felt touch,asd01,ASD,3,forced choice,3,calming,-8.9
felt touch,asd01,ASD,3,forced choice,4,sadness,3.6999999999999993
felt touch,asd01,ASD,3,forced choice,5,attention,-0.9000000000000004
felt touch,asd01,ASD,3,forced choice,6,gratitude,-2.5
felt touch,asd02,ASD,3,forced choice,1,happiness,1.3000000000000007
felt touch,asd02,ASD,3,forced choice,2,calming,-3.3
felt touch,asd02,ASD,3,forced choice,3,attention,4
felt touch,asd02,ASD,3,forced choice,4,sadness,-1.9000000000000004
felt touch,asd02,ASD,3,forced choice,5,love,3.6999999999999993
felt touch,asd02,ASD,3,forced choice,6,gratitude,-0.1999999999999993
felt touch,asd03,ASD,3,forced choice,1,attention,-4
felt touch,asd03,ASD,3,forced choice,2,love,-6.2
felt touch,asd03,ASD,3,forced choice,3,sadness,-7.5
felt touch,asd03,ASD,3,forced choice,4,calming,-5.2
felt touch,asd03,ASD,3,forced choice,5,happiness,-7.2
felt touch,asd03,ASD,3,forced choice,6,gratitude,-7.8
felt touch,asd04,ASD,3,forced choice,1,attention,0
felt touch,asd04,ASD,3,forced choice,2,gratitude,2.0999999999999996
felt touch,asd04,ASD,3,forced choice,3,calming,10
felt touch,asd04,ASD,3,forced choice,4,happiness,2.5
felt touch,asd04,ASD,3,forced choice,5,sadness,10
felt touch,asd04,ASD,3,forced choice,6,love,10
felt touch,asd05,ASD,3,forced choice,1,love,-4.9
felt touch,asd05,ASD,3,forced choice,2,attention,-4
felt touch,asd05,ASD,3,forced choice,3,calming,-7.2
felt touch,asd05,ASD,3,forced choice,4,sadness,-3.3
felt touch,asd05,ASD,3,forced choice,5,happiness,-5.9
felt touch,asd05,ASD,3,forced choice,6,gratitude,-3.8
felt touch,asd06,ASD,3,forced choice,1,attention,4.1
felt touch,asd06,ASD,3,forced choice,2,sadness,1.3000000000000007
felt touch,asd06,ASD,3,forced choice,3,gratitude,-4.3
felt touch,asd06,ASD,3,forced choice,4,calming,7.300000000000001
felt touch,asd06,ASD,3,forced choice,5,love,2.5
felt touch,asd06,ASD,3,forced choice,6,happiness,-1.9000000000000004
felt touch,asd07,ASD,3,forced choice,1,love,-4.2
felt touch,asd07,ASD,3,forced choice,2,calming,-7.6
felt touch,asd07,ASD,3,forced choice,3,sadness,-4.8
felt touch,asd07,ASD,3,forced choice,4,attention,3.1999999999999993
felt touch,asd07,ASD,3,forced choice,5,gratitude,-0.5
felt touch,asd07,ASD,3,forced choice,6,happiness,-2.3
felt touch,asd08,ASD,3,forced choice,1,gratitude,-1.1999999999999993
felt touch,asd08,ASD,3,forced choice,2,calming,-5.2
felt touch,asd08,ASD,3,forced choice,3,love,-2.3
felt touch,asd08,ASD,3,forced choice,4,attention,-0.4000000000000003
felt touch,asd08,ASD,3,forced choice,5,happiness,0.1999999999999993
felt touch,asd08,ASD,3,forced choice,6,sadness,-7.1
felt touch,asd09,ASD,3,forced choice,1,attention,-4.3
felt touch,asd09,ASD,3,forced choice,2,calming,-9.9
felt touch,asd09,ASD,3,forced choice,3,sadness,-9.7
felt touch,asd09,ASD,3,forced choice,4,happiness,-3.3
felt touch,asd09,ASD,3,forced choice,5,gratitude,-9.4
felt touch,asd09,ASD,3,forced choice,6,love,-7.9
felt touch,asd10,ASD,3,forced choice,1,sadness,4.5
felt touch,asd10,ASD,3,forced choice,2,attention,-3.3
felt touch,asd10,ASD,3,forced choice,3,calming,-0.4000000000000003
felt touch,asd10,ASD,3,forced choice,4,gratitude,-0.09999999999999964
felt touch,asd10,ASD,3,forced choice,5,happiness,-7.1
felt touch,asd10,ASD,3,forced choice,6,love,-0.9000000000000004
felt touch,asd10a,ASD,3,forced choice,1,happiness,-4.8
felt touch,asd10a,ASD,3,forced choice,2,calming,1.0999999999999996
felt touch,asd10a,ASD,3,forced choice,3,love,-6.6
felt touch,asd10a,ASD,3,forced choice,4,sadness,4.6
felt touch,asd10a,ASD,3,forced choice,5,gratitude,-6.2
felt touch,asd10a,ASD,3,forced choice,6,attention,-8.6
felt touch,asd11,ASD,3,forced choice,1,happiness,1.1999999999999993
felt touch,asd11,ASD,3,forced choice,2,sadness,-9.4
felt touch,asd11,ASD,3,forced choice,3,love,8.5
felt touch,asd11,ASD,3,forced choice,4,attention,-3.8
felt touch,asd11,ASD,3,forced choice,5,gratitude,-3.9
felt touch,asd11,ASD,3,forced choice,6,calming,2.6999999999999993
felt touch,asd12,ASD,3,forced choice,1,love,-2.5
felt touch,asd12,ASD,3,forced choice,2,attention,-8.8
felt touch,asd12,ASD,3,forced choice,3,gratitude,0.09999999999999964
felt touch,asd12,ASD,3,forced choice,4,calming,0.8000000000000007
felt touch,asd12,ASD,3,forced choice,5,sadness,-1
felt touch,asd12,ASD,3,forced choice,6,happiness,-10
felt touch,asd13,ASD,1,forced choice,1,happiness,0
felt touch,asd13,ASD,1,forced choice,2,sadness,6
felt touch,asd13,ASD,1,forced choice,3,love,0.09999999999999964
felt touch,asd13,ASD,1,forced choice,4,attention,0.09999999999999964
felt touch,asd13,ASD,1,forced choice,5,gratitude,-2.7
felt touch,asd13,ASD,1,forced choice,6,calming,1.6999999999999993
felt touch,asd14,ASD,1,forced choice,1,calming,2.3000000000000007
felt touch,asd14,ASD,1,forced choice,2,love,6.399999999999999
felt touch,asd14,ASD,1,forced choice,3,happiness,-3.2
felt touch,asd14,ASD,1,forced choice,4,sadness,-6.4
felt touch,asd14,ASD,1,forced choice,5,attention,-5.5
felt touch,asd14,ASD,1,forced choice,6,gratitude,-7.3
felt touch,asd15,ASD,1,forced choice,1,happiness,4.300000000000001
felt touch,asd15,ASD,1,forced choice,2,love,4.699999999999999
felt touch,asd15,ASD,1,forced choice,3,attention,6.100000000000001
felt touch,asd15,ASD,1,forced choice,4,gratitude,-0.09999999999999964
felt touch,asd15,ASD,1,forced choice,5,sadness,0.1999999999999993
felt touch,asd15,ASD,1,forced choice,6,calming,0.3000000000000007
felt touch,asd16,ASD,1,forced choice,1,sadness,-5.2
