experiment,group,data,Label,Metric,statistic,bias,std.error,conf.low,conf.high,N,F1_chance
felt touch,ASD,,attention,Recall,0.94375,1.239658952290057e-4,0.01771579374344673,0.9062546427395478,0.97514734010834625,960,0.2857142857142857
felt touch,ASD,,attention,Precision,0.5807692307692308,0.0012441267296701142,0.031719085323108936,0.5203337381814169,0.6428571428571429,960,0.2857142857142857
felt touch,ASD,,attention,Specificity,0.9871428571428571,-1.8315446657646284e-5,0.00416674772176518,0.9779776468756511,0.9943657928690888,960,0.2857142857142857
felt touch,ASD,,attention,F1,0.719047619047619,4.6281629183009265e-4,0.025473201135101473,0.6667062384280461,0.767493022989616,960,0.2857142857142857
felt touch,ASD,,love,Recall,0.70625,0.0013820723047363037,0.03590811357063811,0.634740817717594,0.7771399144705631,960,0.2857142857142857
felt touch,ASD,,love,Precision,0.6848484848484848,-1.5823246597079788e-4,0.036923046927098906,0.6087018229465159,0.7529411764705882,960,0.2857142857142857
felt touch,ASD,,love,Specificity,0.9408805031446541,3.975808591347718e-4,0.008107423644760213,0.9250974809398941,0.9571774694629529,960,0.2857142857142857
felt touch,ASD,,love,F1,0.6953846153846154,-7.28897200559242e-5,0.029560944205905264,0.6353809018077688,0.7514753130661523,960,0.2857142857142857
felt touch,ASD,,happiness,Recall,0.36875,9.329558761068113e-4,0.03932385407238293,0.2922469721059501,0.44751011848345373,960,0.2857142857142857
felt touch,ASD,,happiness,Precision,0.6704545454545454,-6.771349202522314e-4,0.05029800333744806,0.5684470519730466,0.7680873447915514,960,0.2857142857142857
felt touch,ASD,,happiness,Specificity,0.8841743119266054,2.6120916323435495e-4,0.01063424033760331,0.8621878179941299,0.9047058756580717,960,0.2857142857142857
felt touch,ASD,,happiness,F1,0.47580645161290325,-4.116344919354309e-4,0.04035114246959989,0.3948800128323016,0.5533596837944664,960,0.2857142857142857
felt touch,ASD,,calming,Recall,0.575,6.772501883639537e-4,0.03921135460460757,0.4966909126315578,0.6493328149731096,960,0.2857142857142857
felt touch,ASD,,calming,Precision,0.519774011299435,0.001168144185898945,0.035335130086962215,0.4550591327087337,0.5891734949369541,960,0.2857142857142857
felt touch,ASD,,calming,Specificity,0.913154533844189,8.73433561053849e-5,0.010585147782417622,0.8910570305542562,0.9316447397281893,960,0.2857142857142857
felt touch,ASD,,calming,F1,0.5459940652818992,1.974966592408478e-4,0.03124051445254671,0.4838862382713717,0.6033404365317375,960,0.2857142857142857
felt touch,ASD,,sadness,Recall,0.30625,0.001253462035592845,0.03652195562777871,0.23871689330475304,0.38068088691089425,960,0.2857142857142857
felt touch,ASD,,sadness,Precision,0.6621621621621622,0.002898481576280587,0.054438511799925336,0.5500184094715983,0.7746144909867345,960,0.2857142857142857
felt touch,ASD,,sadness,Specificity,0.8747178329571106,4.1164397804260844e-4,0.01076592815675476,0.8545486511570689,0.8963944827299101,960,0.2857142857142857
felt touch,ASD,,sadness,F1,0.41880341880341887,7.640284812761577e-4,0.0408829591128606,0.3404352275816451,0.49556891777252365,960,0.2857142857142857
felt touch,ASD,,gratitude,Recall,0.20625,-1.647585208882918e-4,0.03217060770096013,0.1438595949212089,0.27141982613741633,960,0.2857142857142857
