qualtrics_name,qualtrics_description,nice_var_names
StartDate,Start Date,Start Date
EndDate,End Date,End Date
Duration (in seconds),Duration (in seconds),Duration (in seconds)
Finished,Finished,Finished
RecordedDate,Recorded Date,Recorded Date
ResponseId,Response ID,PID
UserLanguage,User Language,User Language
Q18,Please select your gender:,Gender
Q20,Have you ever been diagnosed with Autism Spectrum Disorder/Aspergers Syndrome?,ASD
Q28,In which country do you currently live?,Country of Residence (EN)
Q30,Vilket land är du bosatt i?,Country of Residence (SV)
Q31_1,How pleasant would it feel if someone you are close to touched you like this? Please mark a position on the line.,Pleasantness Attention
Q40_1,How pleasant would it feel if someone you are close to touched you like this? Please mark a position on the line.,Pleasantness Calming
Q49_1,How pleasant would it feel if someone you are close to touched you like this? Please mark a position on the line.,Pleasantness Gratitude
Q51_1,How pleasant would it feel if someone you are close to touched you like this? Please mark a position on the line.,Pleasantness Happiness
Q52_1,How pleasant would it feel if someone you are close to touched you like this? Please mark a position on the line.,Pleasantness Love
Q54_1,How pleasant would it feel if someone you are close to touched you like this? Please mark a position on the line.,Pleasantness Sadness
Q34,What do you think they were trying to communicate?,CommunicationFC Attention
Q34_DO,What do you think they were trying to communicate? - Display Order,CommunicationFC Attention DO
Q44,What do you think they were trying to communicate?,CommunicationFC Calming
Q44_DO,What do you think they were trying to communicate? - Display Order,CommunicationFC Calming DO
Q57,What do you think they were trying to communicate?,CommunicationFC Gratitude
Q57_DO,What do you think they were trying to communicate? - Display Order,CommunicationFC Gratitude DO
Q59,What do you think they were trying to communicate?,CommunicationFC Happiness
Q59_DO,What do you think they were trying to communicate? - Display Order,CommunicationFC Happiness DO
Q61,What do you think they were trying to communicate?,CommunicationFC Love
Q61_DO,What do you think they were trying to communicate? - Display Order,CommunicationFC Love DO
Q63,What do you think they were trying to communicate?,CommunicationFC Sadness
Q63_DO,What do you think they were trying to communicate? - Display Order,CommunicationFC Sadness DO
Q35,What do you think they were trying to communicate?,CommunicationFT Attention
Q47,What do you think they were trying to communicate?,CommunicationFT Calming
Q65,What do you think they were trying to communicate?,CommunicationFT Gratitude
Q67,What do you think they were trying to communicate?,CommunicationFT Happiness
Q69,What do you think they were trying to communicate?,CommunicationFT Love
Q71,What do you think they were trying to communicate?,CommunicationFT Sadness
Q24_1,"For each statement below, choose one response that best describes how strongly that statement applies to you - I prefer to do things with others rather than on my own",AQ_1
Q24_2,"For each statement below, choose one response that best describes how strongly that statement applies to you - I prefer to do things the same way over and over again.",AQ_2
Q24_3,"For each statement below, choose one response that best describes how strongly that statement applies to you - If I try to imagine something, I find it very easy to create a picture in my mind.",AQ_3
Q24_4,"For each statement below, choose one response that best describes how strongly that statement applies to you - I frequently get so strongly absorbed in one thing that I lose sight of other things.",AQ_4
Q24_5,"For each statement below, choose one response that best describes how strongly that statement applies to you - I often notice small sounds when others do not.",AQ_5
Q24_6,"For each statement below, choose one response that best describes how strongly that statement applies to you - I usually notice car number plates or similar strings of information.",AQ_6
Q24_7,"For each statement below, choose one response that best describes how strongly that statement applies to you - Other people frequently tell me that what I’ve said is impolite, even though I think it is polite.",AQ_7
Q24_8,"For each statement below, choose one response that best describes how strongly that statement applies to you - When I’m reading a story, I can easily imagine what the characters might look like.",AQ_8
Q24_9,"For each statement below, choose one response that best describes how strongly that statement applies to you - I am fascinated by dates.",AQ_9
Q24_10,"For each statement below, choose one response that best describes how strongly that statement applies to you - In a social group, I can easily keep track of several different people’s conversations.",AQ_10
Q24_11,"For each statement below, choose one response that best describes how strongly that statement applies to you - I find social situations easy.",AQ_11
Q24_12,"For each statement below, choose one response that best describes how strongly that statement applies to you - I tend to notice details that others do not.",AQ_12
Q24_13,"For each statement below, choose one response that best describes how strongly that statement applies to you - I would rather go to a library than a party.",AQ_13
Q24_14,"For each statement below, choose one response that best describes how strongly that statement applies to you - I find making up stories easy.",AQ_14
Q24_15,"For each statement below, choose one response that best describes how strongly that statement applies to you - I find myself drawn more strongly to people than to things.",AQ_15
Q24_16,"For each statement below, choose one response that best describes how strongly that statement applies to you - I tend to have very strong interests which I get upset about if I can’t pursue.",AQ_16
Q24_17,"For each statement below, choose one response that best describes how strongly that statement applies to you - I enjoy social chit-chat.",AQ_17
Q24_18,"For each statement below, choose one response that best describes how strongly that statement applies to you - When I talk, it isn’t always easy for others to get a word in edgeways.",AQ_18
Q24_19,"For each statement below, choose one response that best describes how strongly that statement applies to you - I am fascinated by numbers.",AQ_19
Q24_20,"For each statement below, choose one response that best describes how strongly that statement applies to you - When I’m reading a story, I find it difficult to work out the characters’ intentions.",AQ_20
Q24_21,"For each statement below, choose one response that best describes how strongly that statement applies to you - I don’t particularly enjoy reading fiction.",AQ_21
Q24_22,"For each statement below, choose one response that best describes how strongly that statement applies to you - I find it hard to make new friends.",AQ_22
Q24_23,"For each statement below, choose one response that best describes how strongly that statement applies to you - I notice patterns in things all the time.",AQ_23
Q24_24,"For each statement below, choose one response that best describes how strongly that statement applies to you - I would rather go to the theatre than a museum.",AQ_24
Q24_25,"For each statement below, choose one response that best describes how strongly that statement applies to you - It does not upset me if my daily routine is disturbed.",AQ_25
Q24_26,"For each statement below, choose one response that best describes how strongly that statement applies to you - I frequently find that I don’t know how to keep a conversation going.",AQ_26
Q24_27,"For each statement below, choose one response that best describes how strongly that statement applies to you - I find it easy to “read between the lines” when someone is talking to me.",AQ_27
Q24_28,"For each statement below, choose one response that best describes how strongly that statement applies to you - I usually concentrate more on the whole picture, rather than the small details.",AQ_28
Q24_29,"For each statement below, choose one response that best describes how strongly that statement applies to you - I am not very good at remembering phone numbers.",AQ_29
Q24_30,"For each statement below, choose one response that best describes how strongly that statement applies to you - I don’t usually notice small changes in a situation, or a person’s appearance.",AQ_30
Q24_31,"For each statement below, choose one response that best describes how strongly that statement applies to you - I know how to tell if someone listening to me is getting bored.",AQ_31
Q24_32,"For each statement below, choose one response that best describes how strongly that statement applies to you - I find it easy to do more than one thing at once.",AQ_32
Q24_33,"For each statement below, choose one response that best describes how strongly that statement applies to you - When I talk on the phone, I’m not sure when it’s my turn to speak.",AQ_33
Q24_34,"For each statement below, choose one response that best describes how strongly that statement applies to you - I enjoy doing things spontaneously.",AQ_34
Q24_35,"For each statement below, choose one response that best describes how strongly that statement applies to you - I am often the last to understand the point of a joke.",AQ_35
Q24_36,"For each statement below, choose one response that best describes how strongly that statement applies to you - I find it easy to work out what someone is thinking or feeling just by looking at their face.",AQ_36
Q24_37,"For each statement below, choose one response that best describes how strongly that statement applies to you - If there is an interruption, I can switch back to what I was doing very quickly.",AQ_37
Q24_38,"For each statement below, choose one response that best describes how strongly that statement applies to you - I am good at social chit-chat.",AQ_38
Q24_39,"For each statement below, choose one response that best describes how strongly that statement applies to you - People often tell me that I keep going on and on about the same thing.",AQ_39
Q24_40,"For each statement below, choose one response that best describes how strongly that statement applies to you - When I was young, I used to enjoy playing games involving pretending with other children.",AQ_40
Q24_41,"For each statement below, choose one response that best describes how strongly that statement applies to you - I like to collect information about categories of things (e.g. types of car, types of bird, types of train, types of plant, etc.).",AQ_41
Q24_42,"For each statement below, choose one response that best describes how strongly that statement applies to you - I find it difficult to imagine what it would be like to be someone else.",AQ_42
Q24_43,"For each statement below, choose one response that best describes how strongly that statement applies to you - I like to plan any activities I participate in carefully.",AQ_43
Q24_44,"For each statement below, choose one response that best describes how strongly that statement applies to you - I enjoy social occasions.",AQ_44
Q24_45,"For each statement below, choose one response that best describes how strongly that statement applies to you - I find it difficult to work out people’s intentions.",AQ_45
Q24_46,"For each statement below, choose one response that best describes how strongly that statement applies to you - New situations make me anxious.",AQ_46
Q24_47,"For each statement below, choose one response that best describes how strongly that statement applies to you - I enjoy meeting new people.",AQ_47
Q24_48,"For each statement below, choose one response that best describes how strongly that statement applies to you - I am a good diplomat.",AQ_48
Q24_49,"For each statement below, choose one response that best describes how strongly that statement applies to you - I am not very good at remembering people’s date of birth.",AQ_49
Q24_50,"For each statement below, choose one response that best describes how strongly that statement applies to you - I find it very easy to play games with children that involve pretending.",AQ_50
Q25_1,"You are about to fill out a series of statements related
to personality and lifestyle. For each question, select that answer that best describes how often that statement applies to you. Many of these questions ask about
your interactions with other people. 
Please think about
the way you are with most people, rather than special
relationships you may have with spouses or significant
others, children, siblings, and parents. Everyone
changes over time, which can make it hard to fill out
questions about personality. Think about the way you
have been the majority of your adult life, rather than
the way you were as a teenager, or times you may have
felt different than normal. 
You must answer each
question, and give only one answer per question. If you
are confused, please give it your best guess. - I like being around other people",BAPQ_1
Q25_2,"You are about to fill out a series of statements related
to personality and lifestyle. For each question, select that answer that best describes how often that statement applies to you. Many of these questions ask about
your interactions with other people. 
Please think about
the way you are with most people, rather than special
relationships you may have with spouses or significant
others, children, siblings, and parents. Everyone
changes over time, which can make it hard to fill out
questions about personality. Think about the way you
have been the majority of your adult life, rather than
the way you were as a teenager, or times you may have
felt different than normal. 
You must answer each
question, and give only one answer per question. If you
are confused, please give it your best guess. - I find it hard to get my words out smoothly",BAPQ_2
